#This allows easy configuration of the number of positions allowed for each job
#Format is: [Job name]=[total positions],[spawn positions]
#Job names must be identical to the title var of each job datum
#Positions can be set to -1 to allow unlimited slots
Captain=1,1
Head of Personnel=1,1
Head of Security=1,1
Chief Engineer=1,1
Research Director=1,1
Chief Medical Officer=1,1

Assistant=-1,-1

Quartermaster=1,1
Cargo Technician=6,4
Shaft Miner=4,4

Bartender=2,1
Cook=2,1
Botanist=4,3
Janitor=3,2

Clown=1,1
Mime=1,1
Curator=1,1
Lawyer=2,2

Chaplain=1,1

Station Engineer=7,5
Atmospheric Technician=4,2

Medical Doctor=8,6
Paramedic=2,1
Chemist=3,2
Geneticist=3,2
Virologist=1,1

Scientist=8,6
Roboticist=2,2

Warden=1,1
Detective=1,1
Security Officer=10,8
Brig Physician=1,1
Deputy=0,0

AI=1,1
Cyborg=1,1
